,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
264,2010,0.369990066,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
265,2011,0.33792499340000004,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
266,2012,0.3838095722,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
267,2013,0.3799004982,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
268,2014,0.3528588031,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
269,2015,0.4348631705,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
270,2016,0.4448315735,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
271,2017,0.44668949,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
272,2018,0.4261125141,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
273,2019,0.4502017004,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
274,2020,0.4387109685,NY.ADJ.DCO2.GN.ZS,FRA,France,Europe & Central Asia,High income,Not classified
275,2010,0.6413689266,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
276,2011,0.5789772646,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
277,2012,0.6582919987,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
278,2013,0.6593387291,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
279,2014,0.6279496361,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
280,2015,0.7546639226,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
281,2016,0.7544558394,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
282,2017,0.7267054473,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
283,2018,0.6780418864000001,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
284,2019,0.7128751783,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
285,2020,0.7006579005,NY.ADJ.DCO2.GN.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
286,2010,2.8802916851,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
287,2011,2.8977718927,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
288,2012,3.2970860025,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
289,2013,3.4810499957,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
290,2014,3.5668972226999998,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
291,2015,3.6048065179,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
292,2016,3.4784141959,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
293,2017,3.2867631336,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
294,2018,3.5724452519,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
295,2019,3.5728944027000002,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
296,2020,3.6290852229,NY.ADJ.DCO2.GN.ZS,IND,India,South Asia,Lower middle income,IBRD
297,2010,1.6286797316000001,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
298,2011,1.648808633,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
299,2012,1.7062468524,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
300,2013,1.6627139012,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
301,2014,1.9191154653,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
302,2015,2.0572118565,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
303,2016,1.9671410003,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
304,2017,2.028516491,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
305,2018,2.2620000603,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
306,2019,2.2493736224,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
307,2020,2.3825265399,NY.ADJ.DCO2.GN.ZS,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
308,2010,0.5462787686,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
309,2011,0.5159985857,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
310,2012,0.5663575357,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
311,2013,0.5243553882,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
312,2014,0.5112203758,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
313,2015,0.6473330597,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
314,2016,0.6356001022000001,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
315,2017,0.6252453191,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
316,2018,0.6032035827000001,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
317,2019,0.6384111948,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
318,2020,0.6224179918,NY.ADJ.DCO2.GN.ZS,ITA,Italy,Europe & Central Asia,High income,Not classified
319,2010,0.5673897563,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
320,2011,0.5704171342000001,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
321,2012,0.6146699205,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
322,2013,0.7662180498000001,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
323,2014,0.8193244134000001,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
324,2015,0.903506499,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
325,2016,0.8249699062,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
326,2017,0.8551958677,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
327,2018,0.8431685542,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
328,2019,0.848702244,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
329,2020,0.8463449886000001,NY.ADJ.DCO2.GN.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
330,2010,1.4337063047,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
331,2011,1.4120414307,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
332,2012,1.4518069371,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
333,2013,1.4026829351,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
334,2014,1.3260967503,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
335,2015,1.4387423538,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
336,2016,1.4594766792,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
337,2017,1.4355079138,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
338,2018,1.4287533746,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
339,2019,1.5521560947,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
340,2020,1.5865448987000002,NY.ADJ.DCO2.GN.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
341,2010,1.282263998,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
342,2011,1.2350476414,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
343,2012,1.2738019423,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
344,2013,1.2272858639,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
345,2014,1.2073208554,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
346,2015,1.4455798099,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
347,2016,1.6361653797,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
348,2017,1.5622795189,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
349,2018,1.5544878463,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
350,2019,1.5108983628,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
351,2020,1.6636045634,NY.ADJ.DCO2.GN.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
352,2010,3.0712315594,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
353,2011,2.4874433133,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
354,2012,2.435488644,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
355,2013,2.3801155537,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
356,2014,2.7226312603,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
357,2015,4.0836374412,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
358,2016,4.4256749604,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
359,2017,3.8082041026,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
360,2018,3.8878810734,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
361,2019,4.0405718989,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
362,2020,4.5213926064,NY.ADJ.DCO2.GN.ZS,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
363,2010,2.3571525068,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
364,2011,1.9975060873000001,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
365,2012,2.0458176731,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
366,2013,2.1282198791,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
367,2014,2.341558254,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
368,2015,2.9118188441,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
369,2016,3.0192935702,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
370,2017,2.8943379239,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
371,2018,2.5392927694000003,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
372,2019,2.6190656378,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
373,2020,2.9079590314,NY.ADJ.DCO2.GN.ZS,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
374,2010,2.9841969482,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
375,2011,2.7263143437,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
376,2012,3.1467897113,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
377,2013,3.6188818796,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
378,2014,4.0605003167,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
379,2015,4.3704784960000005,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
380,2016,4.8385657877,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
381,2017,4.3885913127,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
382,2018,4.3082990994,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
383,2019,4.6318811474,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
384,2020,5.1039271129,NY.ADJ.DCO2.GN.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
385,2010,1.1078746625,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
386,2011,1.1375067135,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
387,2012,1.1765944312,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
388,2013,1.0859053137,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
389,2014,1.233700743,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
390,2015,1.4339460008,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
391,2016,1.5595790923,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
392,2017,1.8351142576,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
393,2018,2.1095345192,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
394,2019,2.2235194137,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
395,2020,2.4385307915,NY.ADJ.DCO2.GN.ZS,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
396,2010,0.5555304942,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
397,2011,0.493959727,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
398,2012,0.5429248861,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
399,2013,0.5336075547,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
400,2014,0.4631780976,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
401,2015,0.48308781440000004,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
402,2016,0.5125327788,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
403,2017,0.5153712206000001,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
404,2018,0.4915298508,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
405,2019,0.4919870159,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
406,2020,0.4598158473,NY.ADJ.DCO2.GN.ZS,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
407,2010,1.0186519765,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
408,2011,0.9689525941,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
409,2012,0.9268467031000001,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
410,2013,0.9583973728,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
411,2014,0.9558311515000001,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
412,2015,0.92916614,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
413,2016,0.9223353044,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
414,2017,0.9051025530000001,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
415,2018,0.9338129846000001,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
416,2019,0.9260291404000001,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
417,2020,0.9132063781,NY.ADJ.DCO2.GN.ZS,USA,United States,North America,High income,Not classified
